,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category,hum_category,windspeed_category,atemp_category,time_category
63,64,2011-01-03,1,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,cold,low,Light breeze,cold,evening
64,65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,cold,low,Calm,cold,evening
65,66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,cold,low,Light breeze,cold,evening
66,67,2011-01-03,1,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,cold,high,Light breeze,cold,night
67,68,2011-01-03,1,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,cold,high,Light breeze,cold,night
68,69,2011-01-03,1,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,cold,high,Light breeze,cold,night
69,70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,cold,high,Light breeze,cold,night
70,71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,cold,high,Light breeze,cold,night
71,72,2011-01-04,1,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,cold,high,Light breeze,cold,night
72,73,2011-01-04,1,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,cold,high,Light breeze,cold,night
73,74,2011-01-04,1,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,cold,high,Light breeze,cold,night
74,75,2011-01-04,1,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,cold,high,Light breeze,cold,morning
75,76,2011-01-04,1,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,cold,high,Light breeze,cold,morning
76,77,2011-01-04,1,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,cold,high,Light breeze,cold,morning
77,78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,cold,high,Gentle breeze,cold,morning
78,79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,cold,high,Moderate breeze,cold,morning
79,80,2011-01-04,1,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,cold,high,Gentle breeze,cold,morning
80,81,2011-01-04,1,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,cold,high,Light breeze,cold,noon
81,82,2011-01-04,1,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,cold,high,Gentle breeze,cold,afternoon
82,83,2011-01-04,1,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,cold,high,Gentle breeze,cold,afternoon
83,84,2011-01-04,1,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,cold,high,Gentle breeze,cold,afternoon
84,85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,cold,low,Gentle breeze,cold,afternoon
85,86,2011-01-04,1,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,cold,low,Gentle breeze,cold,afternoon
86,87,2011-01-04,1,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,cold,low,Gentle breeze,cold,evening
87,88,2011-01-04,1,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,cold,low,Light breeze,cold,evening
88,89,2011-01-04,1,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,cold,low,Light breeze,cold,evening
89,90,2011-01-04,1,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,cold,high,Calm,cold,night
90,91,2011-01-04,1,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,cold,high,Light breeze,cold,night
91,92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,cold,high,Light breeze,cold,night
92,93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,cold,high,Calm,cold,night
93,94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,cold,high,Light breeze,cold,night
94,95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,cold,high,Light breeze,cold,night
95,96,2011-01-05,1,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,cold,low,Gentle breeze,cold,night
96,97,2011-01-05,1,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,cold,low,Light breeze,cold,night
97,98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,cold,low,Gentle breeze,cold,morning
98,99,2011-01-05,1,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,cold,low,Gentle breeze,cold,morning
99,100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,cold,low,Gentle breeze,cold,morning
100,101,2011-01-05,1,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,cold,low,Moderate breeze,cold,morning
101,102,2011-01-05,1,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,cold,low,Moderate breeze,cold,morning
102,103,2011-01-05,1,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,cold,low,Moderate breeze,cold,morning
103,104,2011-01-05,1,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,cold,low,Moderate breeze,cold,noon
104,105,2011-01-05,1,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,cold,low,Gentle breeze,cold,afternoon
105,106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,cold,low,Gentle breeze,cold,afternoon
106,107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,cold,low,Gentle breeze,cold,afternoon
107,108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,cold,low,Light breeze,cool,afternoon
108,109,2011-01-05,1,0,1,17,0,3,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,cold,low,Gentle breeze,cold,afternoon
109,110,2011-01-05,1,0,1,18,0,3,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,cold,low,Light breeze,cold,evening
110,111,2011-01-05,1,0,1,19,0,3,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,cold,low,Light breeze,cold,evening
111,112,2011-01-05,1,0,1,20,0,3,1,1,9.02,11.365,47.0,11.0014,7,82,89,cold,low,Light breeze,cold,evening
112,113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,cold,high,Gentle breeze,cold,night
113,114,2011-01-05,1,0,1,22,0,3,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,cold,high,Light breeze,cold,night
114,115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,cold,low,Calm,cold,night
115,116,2011-01-06,1,0,1,0,0,4,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,cold,high,Calm,cold,night
116,117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,cold,high,Calm,cold,night
117,118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,cold,high,Calm,cold,night
118,119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,cold,high,Light breeze,cold,night
119,120,2011-01-06,1,0,1,5,0,4,1,2,5.74,9.09,69.0,6.0032,0,4,4,cold,high,Light breeze,cold,night
120,121,2011-01-06,1,0,1,6,0,4,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,cold,high,Light breeze,cold,morning
121,122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,cold,high,Calm,cold,morning
122,123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,cold,high,Calm,cold,morning
123,124,2011-01-06,1,0,1,9,0,4,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,cold,high,Calm,cold,morning
124,125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,cold,low,Calm,cold,morning
125,126,2011-01-06,1,0,1,11,0,4,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,cold,low,Light breeze,cold,morning
126,127,2011-01-06,1,0,1,12,0,4,1,1,10.66,14.395,35.0,0.0,6,78,84,cold,low,Calm,cold,noon
127,128,2011-01-06,1,0,1,13,0,4,1,1,10.66,13.635,35.0,7.0015,12,55,67,cold,low,Light breeze,cold,afternoon
128,129,2011-01-06,1,0,1,14,0,4,1,1,11.48,13.635,36.0,11.0014,11,59,70,cold,low,Light breeze,cold,afternoon
129,130,2011-01-06,1,0,1,15,0,4,1,1,11.48,13.635,36.0,0.0,8,54,62,cold,low,Calm,cold,afternoon
130,131,2011-01-06,1,0,1,16,0,4,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,cold,low,Light breeze,cold,afternoon
131,132,2011-01-06,1,0,1,17,0,4,1,1,9.02,11.365,51.0,11.0014,9,163,172,cold,high,Light breeze,cold,afternoon
132,133,2011-01-06,1,0,1,18,0,4,1,1,9.02,11.365,51.0,8.9981,5,158,163,cold,high,Light breeze,cold,evening
133,134,2011-01-06,1,0,1,19,0,4,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,cold,high,Light breeze,cold,evening
134,135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,cold,high,Light breeze,cold,evening
135,136,2011-01-06,1,0,1,21,0,4,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,cold,high,Gentle breeze,cold,night
136,137,2011-01-06,1,0,1,22,0,4,1,2,9.02,10.605,51.0,19.0012,1,51,52,cold,high,Gentle breeze,cold,night
137,138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,cold,high,Gentle breeze,cold,night
138,139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,cold,high,Gentle breeze,cold,night
139,140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,cold,high,Gentle breeze,cold,night
140,141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,cold,high,Gentle breeze,cold,night
141,142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,cold,high,Light breeze,cold,night
142,143,2011-01-07,1,0,1,5,0,5,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,cold,high,Calm,cold,night
143,144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,cold,high,Calm,cold,morning
144,145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,cold,high,Light breeze,cold,morning
145,146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,cold,high,Gentle breeze,cold,morning
146,147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,cold,low,Gentle breeze,cold,morning
147,148,2011-01-07,1,0,1,10,0,5,1,1,9.02,9.85,37.0,22.0028,16,47,63,cold,low,Moderate breeze,cold,morning
148,149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,cold,low,Gentle breeze,cold,morning
149,150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,cold,low,Gentle breeze,cold,noon
150,151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,cold,low,Gentle breeze,cold,afternoon
151,152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,cold,low,Gentle breeze,cold,afternoon
152,153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,cold,low,Light breeze,cold,afternoon
153,154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,cold,low,Light breeze,cold,afternoon
154,155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,cold,low,Calm,cold,afternoon
155,156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,cold,low,Light breeze,cold,evening
156,157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,cold,high,Light breeze,cold,evening
157,158,2011-01-07,1,0,1,20,0,5,1,1,7.38,10.605,47.0,7.0015,1,50,51,cold,low,Light breeze,cold,evening
158,159,2011-01-07,1,0,1,21,0,5,1,1,7.38,9.85,47.0,8.9981,0,39,39,cold,low,Light breeze,cold,night
159,160,2011-01-07,1,0,1,22,0,5,1,2,7.38,9.85,43.0,11.0014,2,34,36,cold,low,Light breeze,cold,night
160,161,2011-01-07,1,0,1,23,0,5,1,2,7.38,9.85,51.0,11.0014,1,14,15,cold,high,Light breeze,cold,night
161,162,2011-01-08,1,0,1,0,0,6,0,2,7.38,9.85,51.0,11.0014,1,24,25,cold,high,Light breeze,cold,night
162,163,2011-01-08,1,0,1,1,0,6,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,cold,high,Light breeze,cold,night
163,164,2011-01-08,1,0,1,2,0,6,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,cold,high,Calm,cold,night
164,165,2011-01-08,1,0,1,3,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,cold,high,Light breeze,cold,night
165,166,2011-01-08,1,0,1,4,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,cold,high,Light breeze,cold,night
166,167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,cold,high,Light breeze,cold,night
167,168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,cold,high,Light breeze,cold,morning
168,169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,cold,high,Light breeze,cold,morning
169,170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,cold,very high,Light breeze,cold,morning
170,171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,cold,very high,Light breeze,cold,morning
171,172,2011-01-08,1,0,1,10,0,6,0,2,7.38,9.85,80.0,11.0014,5,56,61,cold,high,Light breeze,cold,morning
172,173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,cold,high,Moderate breeze,cold,morning
173,174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,cold,high,Moderate breeze,cold,noon
174,175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,cold,low,Moderate breeze,cold,afternoon
175,176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,cold,low,Fresh breeze,cold,afternoon
176,177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,cold,low,Fresh breeze,cold,afternoon
177,178,2011-01-08,1,0,1,16,0,6,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,cold,low,Fresh breeze,cold,afternoon
178,179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,cold,low,Fresh breeze,cold,afternoon
179,180,2011-01-08,1,0,1,18,0,6,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,cold,low,Gentle breeze,cold,evening
180,181,2011-01-08,1,0,1,19,0,6,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,cold,low,Gentle breeze,cold,evening
181,182,2011-01-08,1,0,1,20,0,6,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,cold,low,Gentle breeze,cold,evening
182,183,2011-01-08,1,0,1,21,0,6,0,1,4.92,5.305,39.0,23.9994,2,35,37,cold,low,Moderate breeze,cold,night
183,184,2011-01-08,1,0,1,22,0,6,0,1,4.92,5.305,36.0,26.0027,1,33,34,cold,low,Moderate breeze,cold,night
184,185,2011-01-08,1,0,1,23,0,6,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,cold,low,Fresh breeze,cold,night
185,186,2011-01-09,1,0,1,0,0,0,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,cold,low,Moderate breeze,cold,night
186,187,2011-01-09,1,0,1,1,0,0,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,cold,low,Fresh breeze,cold,night
187,188,2011-01-09,1,0,1,2,0,0,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,cold,low,Fresh breeze,cold,night
188,189,2011-01-09,1,0,1,3,0,0,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,cold,low,Moderate breeze,cold,night
189,190,2011-01-09,1,0,1,4,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,cold,high,Gentle breeze,cold,night
190,191,2011-01-09,1,0,1,5,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,cold,high,Gentle breeze,cold,night
